Order;Type;IP;HostName;VisibleName;GroupName;TemplateName;TagType;IconName;Origin;Source;MapStatus;X;Y;XPercent;YPercent;UpdatedAt;MapElementIds
1;camera;192.0.2.11;CAM_192_0_2_11;CAM-DEMO-01;CCTV / Kamery;ICMP Ping;camera;;LOCAL;DEMO;PLACED;230.56;380.56;14.409722;42.283951;2026-08-10T12:13:45;{}
2;camera;192.0.2.12;CAM_192_0_2_12;CAM-DEMO-02;CCTV / Kamery;ICMP Ping;camera;;LOCAL;DEMO;PLACED;891.67;416.67;55.729167;46.296296;2026-08-10T12:13:46;{}
3;camera;192.0.2.13;CAM_192_0_2_13;CAM-DEMO-03;CCTV / Kamery;ICMP Ping;camera;;LOCAL;DEMO;PLACED;1008.33;683.33;63.020833;75.925926;2026-08-10T12:13:52;{}
4;camera;192.0.2.21;CAM_192_0_2_21;2.21 CAM-DEMO-IMPORT-01;CCTV / Kamery;ICMP Ping;camera;;ARKUSZ;ARKUSZ — oczekuje Zabbixa;PENDING;;;;;;{}
5;camera;192.0.2.22;CAM_192_0_2_22;2.22 CAM-DEMO-IMPORT-02;CCTV / Kamery;ICMP Ping;camera;;ARKUSZ;ARKUSZ — oczekuje Zabbixa;PENDING;;;;;;{}
6;camera;192.0.2.30;CAM_192_0_2_30;CAM-DEMO-MANUAL-01;CCTV / Kamery;ICMP Ping;camera;CAM;MANUAL;EDYCJA LOKALNA — oczekuje Zabbixa;PENDING;;;;;;{}
1;recorder;203.0.113.21;REC_203_0_113_21;REC-DEMO-012;CCTV / Rejestratory;ICMP Ping;recorder;RECORDER;LOCAL;EDYCJA LOKALNA — oczekuje Zabbixa;PLACED;1180;230;73.7500;25.5556;2026-08-10T12:14:49;{}
2;recorder;203.0.113.22;REC_203_0_113_22;REC-DEMO-02;CCTV / Rejestratory;ICMP Ping;recorder;RECORDER;LOCAL;DEMO;PENDING;;;;;;{}
1;switch;198.51.100.31;SW_198_51_100_31;SW-DEMO-01;CCTV / Switche;ICMP Ping;switch;SWITCH;LOCAL;DEMO;PLACED;810;585;50.6250;65.0000;;{}
2;switch;198.51.100.32;SW_198_51_100_32;SW-DEMO-02;CCTV / Switche;ICMP Ping;switch;SWITCH;LOCAL;DEMO;PENDING;;;;;;{}
1;cabinet;;CAB_DEMO_A;CAB-DEMO-A;;;;CABINET;CABINET;DEMO;PENDING;;;;;;{}
2;cabinet;;CAB_DEMO_B;CAB-DEMO-B;;;;CABINET;CABINET;DEMO;SKIPPED;;;;;;{}
